approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
baseline_lr,linear_regression,batlik,corona.csv,1,1919,11,0.12801119934361638,0.18633303489272623,0.2571220626994194
improved_v8,cart,batlik,corona.csv,1,1919,11,0.034880633900692654,0.051215689437196774,0.07089117784663095
baseline_lr,linear_regression,batlik,corona.csv,2,1919,11,0.11880389976343617,0.18144521759455165,0.2623828759798598
improved_v8,cart,batlik,corona.csv,2,1919,11,0.03560954928479697,0.052007002690596424,0.06794052696667462
baseline_lr,linear_regression,batlik,corona.csv,3,1919,11,0.13142498118045934,0.19051874008073222,0.2623583538425795
improved_v8,cart,batlik,corona.csv,3,1919,11,0.033689024245244954,0.049381709436396935,0.06693316286873231
baseline_lr,linear_regression,batlik,corona.csv,4,1919,11,0.12390431555090561,0.18646067124105717,0.2711211009705382
improved_v8,cart,batlik,corona.csv,4,1919,11,0.03353097517893363,0.048607241812970985,0.06496076569506765
baseline_lr,linear_regression,batlik,corona.csv,5,1919,11,0.12025581540541469,0.17474461493578333,0.24741159378603045
improved_v8,cart,batlik,corona.csv,5,1919,11,0.03616638532406101,0.0521879546957672,0.06796527877734644
baseline_lr,linear_regression,batlik,corona.csv,6,1919,11,0.12463539746455411,0.18159720482020736,0.25655076299908086
improved_v8,cart,batlik,corona.csv,6,1919,11,0.0355941791561039,0.05148261197771002,0.06964989212996535
baseline_lr,linear_regression,batlik,corona.csv,7,1919,11,0.12039358403594486,0.17995369501836136,0.2615054939274235
improved_v8,cart,batlik,corona.csv,7,1919,11,0.035437339044513905,0.0510815508758217,0.06675633644133751
baseline_lr,linear_regression,batlik,corona.csv,8,1919,11,0.12682692887963504,0.18721951836156395,0.26715324584671835
improved_v8,cart,batlik,corona.csv,8,1919,11,0.03299640115040407,0.04764868927368929,0.06410656576379982
baseline_lr,linear_regression,batlik,corona.csv,9,1919,11,0.12177281214295974,0.1784432048029666,0.25307315004797504
improved_v8,cart,batlik,corona.csv,9,1919,11,0.034323616138098166,0.05053460299515753,0.0686759555973871
baseline_lr,linear_regression,batlik,corona.csv,10,1919,11,0.123321664589302,0.1778467482184682,0.24838745583261004
improved_v8,cart,batlik,corona.csv,10,1919,11,0.034886707366973045,0.05000993942400192,0.06635454776646411
baseline_lr,linear_regression,batlik,corona.csv,11,1919,11,0.11669145361531363,0.17751143862730553,0.2614840195037984
improved_v8,cart,batlik,corona.csv,11,1919,11,0.035612835107763426,0.051097725769600776,0.06732305932540844
baseline_lr,linear_regression,batlik,corona.csv,12,1919,11,0.12442838372399412,0.18066805272375427,0.2556833355423743
improved_v8,cart,batlik,corona.csv,12,1919,11,0.03474170600461925,0.05024466452721661,0.0670575756595882
